,Username,Tweet,Likes,Retweets,No
95,Papua__Ku,Deng Vaksin Kitong Aman Dari Bahaya Covid-19 https://t.co/VLMQn0D05H,0,0,95
96,irasjafii,"Menjelang akhir th  situasi covid-19 di Depok; 19 kasus aktif per kemarin dan 22% pddk yg belum vaksin, serta laporan kasus di rs tempat saya kerja hanya 1 org yg dirawat, berharap memasuki 2022 dg optimis. Asalkan semua tetap displin gunakan masker dan bijak dlm berkumpul. https://t.co/1Oi9gQLB6X",15,3,96
97,poldasulut_,"SINERGITAS TNI - POLRI 

Vaksin sehat dan tidak berbahaya, ayo kita vaksin sobat polri untuk mencegah penyebaran Covid-19 

#humaspoldasulut https://t.co/9rrodWnhWh",1,0,97
98,andikceritanya,"Apalagi dg kasus Omicron yg terus naik maka pemerintah jg berencana mempercepat pelaksanaan program vaksinasi dosis ke-3 atau booster Covid-19. Percepatan ini mempertimbangkan meningkatnya penularan Covid-19 varian Omicron dan menurunnya efikasi vaksin. 

#BerharapTakBerpisah",0,0,98
99,Iren___E,"Dengan Vaksin Kitong Aman Dari Bahaya Covid-19

Ayo... Vaksin https://t.co/4lY73qM2xZ",0,0,99
100,kumparan,Orang tua harus mengajak anak tentang pentingnya vaksin COVID-19. #satgascovid19 #kumparanNEWS https://t.co/Cesy8uKm6Y,2,1,100
101,soloposdotcom,"8 Hari, 5.151 Anak Sukoharjo Usia 6-11 Tahun Disuntik Vaksin Covid-19 https://t.co/SxEk2xjOPf",0,0,101
102,LampungHumas,"Perpres No 14 Th 2021, Tentang pengadaan Vaksin dan Pelaksanaan Vaksinasi COVID-19 https://t.co/1MvwXcdqAb",1,0,102
103,detikcom,Nama vaksin Covid-19 Indonesia ada 10 yang telah mendapatkan EUA BPOM. Berikut daftarnya. https://t.co/OHosRVjBmS,9,1,103
104,hariankompas,"Ketidaksetaraan vaksinasi Covid-19 dan berbagai upaya mencegah penularan membuat pandemi sulit diakhiri. Kesenjangan akses terhadap vaksin tersebut menyebabkan varian baru akan terus bermunculan. #Iptek #AdadiKompas @aik_arif 

https://t.co/j74tvars7y",0,2,104
105,Bisniscom,WHO: Varian Baru Virus Corona Bisa Membuat Vaksin Covid-19 Menjadi Tidak Efektif https://t.co/JDfpqeDqqK,32,13,105
106,08Kemiri,Babinsa Koramil 08/Kmr Kodim 0708/Pwr  Melaksanakan Pendampingan Vaksin Covid 19 di wilayah Purworejo https://t.co/0C31YuDyBd,0,0,106
107,kumaedi07,"Karena gak mau kenapa napa sama badan. Alhamdulillah belum terpapar covid-19. Karena memang aku sangat menjaga pola makan dan sudah vaksin lengkap.

#BerharapTakBerpisah https://t.co/D62MgC9hQv",2,0,107
108,08Kemiri,BABINSA KORAMIL 08/ KMR MENDAMPINGI WARGA MENERIMA VAKSIN COVID-19 https://t.co/9uP3Hdkv8y,0,0,108
109,archa_bella,"Vaksin ini memiliki bentuk sediaan vial 5 ml. Setiap vial berisi 10 dosis vaksin yang berasal dari virus yang di-inaktivasi.
Untuk menjaga mutu kualitasnya, vaksin Covid-19 tersebut harus disimpan dalam tempat penyimpanan dengan suhu stabil antara 2-8°C
 #BerharapTakBerpisah https://t.co/Xi2JZ7LzpW",0,0,109
110,archa_bella,"3.Coronavac/Vaksin PT Bio Farma

Coronavac merupakan vaksin Sinovac yang diproduksi oleh PT Bio Farma.

BPOM menerbitkan izin penggunaan darurat untuk vaksin Covid-19 yang diproduksi PT Bio Farma pada 16 Februari 2021.

#BerharapTakBerpisah",0,0,110
111,archa_bella,"2. AstraZeneca

AstraZeneca merupakan vaksin Covid-19 buatan perusahaan farmasi Inggris, AstraZeneca dan University of Oxford yang diproduksi dengan prinsip adenovirus.
BPOM menerbitkan EUA vaksin AstraZeneca 22 Feb 2021.
#BerharapTakBerpisah",0,0,111
112,archa_bella,"#BerharapTakBerpisah 
Sejumlah jenis vaksin Covid-19 sedang proses registrasi di BPOM untuk menjadi vaksin booster sejenis (homologus).",0,0,112
